    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        27   161.9446    93.000  0.477765432  0.040402634  0.079921721  0.401910213  2  0.887711  0.112289   699.9557   102.1428  2.874E-01  1.672E-02  0.418513309  0.042323338  0.088416028  0.450747325  0.964376901  0.024628745  0.010161732  0.000832622
        28   133.2732    93.000  0.489552588  0.002235869  0.505369096  0.002842447  2  0.905849  0.094151   456.6958   113.2156  6.326E-02  1.660E-02  0.463278545  0.002284059  0.531419269  0.003018128  0.912628333  0.001459898  0.085898211  0.000013558
        29   123.5143    93.000  0.450580577  0.000727981  0.039902564  0.508788878  2  0.815014  0.184986   741.4756    71.4026  3.860E-01  1.520E-02  0.346088716  0.000780661  0.046776893  0.606353730  0.995067199  0.000453473  0.004081783  0.000397545
        30   151.0506    93.000  0.025264289  0.516527369  0.000152722  0.458055620  1  1.000000  0.000000   721.5551        NaN  3.456E-01        NaN  0.025264289  0.516527369  0.000152722  0.458055620          NaN          NaN          NaN          NaN
        31   148.2280    93.000  0.095885836  0.111195862  0.124443178  0.668475124  1  1.000000  0.000000   770.3955        NaN  4.791E-01        NaN  0.095885836  0.111195862  0.124443178  0.668475124          NaN          NaN          NaN          NaN
        32   123.1883    93.000  0.000000213  0.394849555  0.000001045  0.605149186  1  1.000000  0.000000   755.7263        NaN  4.381E-01        NaN  0.000000213  0.394849555  0.000001045  0.605149186          NaN          NaN          NaN          NaN
        33   155.5971    93.000  0.026704702  0.244224554  0.153093927  0.575976817  1  1.000000  0.000000   756.1600        NaN  4.370E-01        NaN  0.026704702  0.244224554  0.153093927  0.575976817          NaN          NaN          NaN          NaN
        34   139.4071    93.000  0.000013784  0.010353499  0.988012634  0.001620082  1  1.000000  0.000000   605.3371        NaN  1.435E-01        NaN  0.000013784  0.010353499  0.988012634  0.001620082          NaN          NaN          NaN          NaN
        35   150.6639    93.000  0.284948143  0.018402703  0.000801045  0.695848110  1  1.000000  0.000000   766.5829        NaN  4.733E-01        NaN  0.284948143  0.018402703  0.000801045  0.695848110          NaN          NaN          NaN          NaN
        36   122.3489    93.000  0.582262334  0.358323412  0.056658679  0.002755575  2  0.008243  0.991757   421.4896   187.9653  5.476E-02  2.151E-02  0.361536579  0.439015205  0.151492932  0.047955283  0.584831017  0.357384366  0.055555051  0.002229566
        37   134.9302    93.000  0.006837793  0.444446651  0.548131563  0.000583994  1  1.000000  0.000000   549.5431        NaN  1.047E-01        NaN  0.006837793  0.444446651  0.548131563  0.000583994          NaN          NaN          NaN          NaN
        38   127.2650    93.000  0.002726241  0.005354888  0.061905826  0.930013046  1  1.000000  0.000000   809.3145        NaN  5.886E-01        NaN  0.002726241  0.005354888  0.061905826  0.930013046          NaN          NaN          NaN          NaN
        39   134.3304    93.000  0.001674840  0.243200448  0.754823096  0.000301617  1  1.000000  0.000000   578.2458        NaN  1.230E-01        NaN  0.001674840  0.243200448  0.754823096  0.000301617          NaN          NaN          NaN          NaN
        40   123.7715    93.000  0.000516665  0.290005078  0.313721266  0.395756991  1  1.000000  0.000000   713.3315        NaN  3.114E-01        NaN  0.000516665  0.290005078  0.313721266  0.395756991          NaN          NaN          NaN          NaN
        41   132.6389    93.000  0.998384372  0.000778541  0.000021941  0.000815146  2  0.000500  0.999500   747.4018    75.2828  4.071E-01  1.544E-02  0.363838908  0.001365141  0.000245943  0.634550007  0.998731186  0.000778221  0.000021819  0.000468774
        42   125.0621    93.000  0.029517725  0.392622756  0.284410905  0.293448615  1  1.000000  0.000000   675.9573        NaN  2.386E-01        NaN  0.029517725  0.392622756  0.284410905  0.293448615          NaN          NaN          NaN          NaN
        43   133.1768    93.000  0.723143045  0.099803634  0.009464560  0.167588761  2  0.301809  0.698191   710.6012    91.0106  3.092E-01  1.582E-02  0.348330946  0.134523939  0.023041400  0.494103715  0.914759460  0.082053459  0.002523628  0.000663453
        44   130.3683    93.000  0.494300565  0.505550251  0.000104876  0.000044308  1  1.000000  0.000000   204.7680        NaN  2.324E-02        NaN  0.494300565  0.505550251  0.000104876  0.000044308          NaN          NaN          NaN          NaN
        45   128.4456    93.000  0.699656085  0.147742752  0.000008116  0.152593047  2  0.278069  0.721931   702.8144    94.4397  2.918E-01  1.583E-02  0.329814689  0.197290279  0.000020254  0.472874779  0.875016352  0.124249796  0.000002361  0.000731491
        46   149.1663    93.000  0.487879284  0.145723101  0.366397615  0.000000000  1  1.000000  0.000000   403.6613        NaN  5.078E-02        NaN  0.487879284  0.145723101  0.366397615  0.000000000          NaN          NaN          NaN          NaN
        47   157.2200    93.000  0.434579454  0.009505849  0.549619705  0.006294992  1  1.000000  0.000000   482.1139        NaN  7.205E-02        NaN  0.434579454  0.009505849  0.549619705  0.006294992          NaN          NaN          NaN          NaN
        48   142.3826    93.000  0.654664885  0.000064037  0.344687568  0.000583510  2  0.500875  0.499125   443.2955   123.8446  5.973E-02  1.729E-02  0.494343216  0.000074144  0.504634411  0.000948229  0.908407882  0.000048040  0.091537813  0.000006266
        49   117.4980    93.000  0.977856933  0.000000188  0.014447817  0.007695062  2  0.010866  0.989134   722.2136    70.7028  3.307E-01  1.506E-02  0.335866327  0.000000314  0.142132272  0.522001088  0.987035110  0.000000186  0.012622385  0.000342319
        50   124.8642    93.000  0.002081020  0.059528192  0.931183725  0.007207064  1  1.000000  0.000000   599.7767        NaN  1.382E-01        NaN  0.002081020  0.059528192  0.931183725  0.007207064          NaN          NaN          NaN          NaN
        51   153.0849    93.000  0.025189027  0.915453544  0.059356344  0.000001085  1  1.000000  0.000000   446.4488        NaN  6.255E-02        NaN  0.025189027  0.915453544  0.059356344  0.000001085          NaN          NaN          NaN          NaN
        52   145.5615    93.000  0.053638230  0.000699779  0.745301225  0.200360766  1  1.000000  0.000000   670.5219        NaN  2.230E-01        NaN  0.053638230  0.000699779  0.745301225  0.200360766          NaN          NaN          NaN          NaN
