    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        28   155.0979    95.739  0.134673079  0.024766871  0.840517940  0.000042110  1  1.000000  0.000000   573.5208        NaN  1.186E-01        NaN  0.134673079  0.024766871  0.840517940  0.000042110          NaN          NaN          NaN          NaN
        29   139.6761    72.691  0.309174941  0.000702883  0.689145166  0.000977009  1  1.000000  0.000000   546.1435        NaN  1.038E-01        NaN  0.309174941  0.000702883  0.689145166  0.000977009          NaN          NaN          NaN          NaN
        30   156.6230   104.314  0.169618955  0.706336961  0.000114830  0.123929254  1  1.000000  0.000000   520.5606        NaN  8.874E-02        NaN  0.169618955  0.706336961  0.000114830  0.123929254          NaN          NaN          NaN          NaN
        31   155.8984   117.828  0.341025241  0.023939250  0.000119204  0.634916306  1  1.000000  0.000000   736.5276        NaN  3.606E-01        NaN  0.341025241  0.023939250  0.000119204  0.634916306          NaN          NaN          NaN          NaN
        32   159.6870    83.357  0.000044201  0.832554138  0.162301403  0.005100258  1  1.000000  0.000000   502.1757        NaN  8.329E-02        NaN  0.000044201  0.832554138  0.162301403  0.005100258          NaN          NaN          NaN          NaN
        33   116.1410   113.449  0.136449773  0.862998690  0.000542436  0.000009101  1  1.000000  0.000000   307.7584        NaN  3.515E-02        NaN  0.136449773  0.862998690  0.000542436  0.000009101          NaN          NaN          NaN          NaN
        34   131.0750    69.643  0.000189394  0.111960956  0.809732451  0.078117199  1  1.000000  0.000000   643.6458        NaN  1.944E-01        NaN  0.000189394  0.111960956  0.809732451  0.078117199          NaN          NaN          NaN          NaN
        35   129.1951    85.223  0.721194935  0.000253549  0.069285211  0.209266305  2  0.384582  0.615418   717.9621    80.2190  3.276E-01  1.533E-02  0.366460202  0.000340751  0.145325207  0.487873841  0.987220905  0.000188153  0.012260591  0.000330350
        36   151.9683    97.937  0.000028555  0.672520335  0.327440374  0.000010736  1  1.000000  0.000000   511.0246        NaN  8.518E-02        NaN  0.000028555  0.672520335  0.327440374  0.000010736          NaN          NaN          NaN          NaN
        37   119.4949   111.386  0.000114637  0.055282705  0.016307457  0.928295202  1  1.000000  0.000000   799.7436        NaN  5.347E-01        NaN  0.000114637  0.055282705  0.016307457  0.928295202          NaN          NaN          NaN          NaN
        38   121.9861    72.859  0.173386529  0.000006458  0.141165178  0.685441835  1  1.000000  0.000000   778.6339        NaN  5.218E-01        NaN  0.173386529  0.000006458  0.141165178  0.685441835          NaN          NaN          NaN          NaN
        39   160.1185   109.527  0.073741574  0.003377599  0.004774666  0.918106161  1  1.000000  0.000000   801.7427        NaN  5.617E-01        NaN  0.073741574  0.003377599  0.004774666  0.918106161          NaN          NaN          NaN          NaN
