(1,1)
(2,1.73296)
(4,2.76712)
(8,4.0011)
(16,3.79453)
(32,4.18935)

(1,1)
(2,1.96393)
(4,2.82809)
(8,3.84602)
(16,6.27668)
(32,6.5414)

(1,1)
(2,1.89581)
(4,3.77871)
(8,6.71771)
(16,11.4711)
(32,23.6747)

(1,1)
(2,1.98081)
(4,2.78838)
(8,4.87022)
(16,9.84741)
(32,13.4879)

(1,1)
(2,1.68937)
(4,2.92899)
(8,4.49498)
(16,7.48042)
(32,13.001)

(1,1)
(2,1.95851)
(4,2.75622)
(8,5.42275)
(16,9.94579)
(32,9.79548)

1000x1000
(1,0.202815)
(2,0.117034)
(4,0.0732946)
(8,0.0506898)
(16,0.0534493)
(32,0.048412)

(1, 3.531586557872696) 
(2, 3.522110548142971) 
(4, 2.870439716740661)
(8, 2.789945310293476)
(16, 1.443423382191764)
(32, 1.522208470392015)

(1,1)
(2, 0,997316604970646)
(4, 0,763363259302215)
(8, 0,78999849194752)
(16, 0,422592835702951)
(32, 0,431020408163265)

//
(1,1)
(2,1.73296)
(4,2.76712)
(8,4.0011)
(16,3.79453)
(32,4.18935)

(1,1)
(2,0.866479)
(4,0.69178)
(8,0.500138)
(16,0.237158)
(32,0.130917)

3000x3000
(1,6.21641)
(2,3.02627)
(4,1.51865)
(8,0.81049)
(16,0.533202)
(32,0.258352)

(1, 3.56487)
(2, 3.13181)
(4, 3.7422)
(8, 4.4945)
(16, 4.04648)
(32, 5.35028)

(1, 1)
(2, 0.878519)
(4, 1.04974)
(8, 1.26077)
(16, 1.1351)
(32, 1.50084)

//
(1,1)
(2,2.05415)
(4,4.09338)
(8,7.66994)
(16,11.6586)
(32,24.0618)


(1,1)
(2,1.02707)
(4,1.02334)
(8,0.958743)
(16,0.728665)
(32,0.751931)


6000x6000
(1,57.2184)
(2,33.8697)
(4,19.5352)
(8,12.7294)
(16,7.64909)
(32,4.40108)

(1, 1.52308)
(2, 1.45331)
(4, 1.90479)
(8, 1.71771)
(16, 2.16293)
(32, 3.49201)

(1, 1)
(2, 0.954195)
(4, 1.25061)
(8, 1.12779)
(16, 1.4201)
(32, 2.29273)

//
(1,1)
(2,1.68937)
(4,2.92899)
(8,4.49498)
(16,7.48042)
(32,23.8303)


(1,1)
(2,0.844684)
(4,0.732247)
(8,0.561873)
(16,0.467526)
(32,0.744696)
